18_em_22	p_1^{\gamma_1}p_2^{\gamma_2}\cdots p_n^{\gamma_n}
RIT_2014_27	 \log _ {b} (y ^ {a}) = a \log _ {b} (y) 
RIT_2014_306	 (a + b) u = a u + b v 
37_em_31	M = E-e\sin E
510_em_107	\sqrt{ab} = \sqrt{a}\sqrt{b}
518_em_431	ax - by = 5t + by - by 
RIT_2014_35	 \theta + c 
515_em_364	\sin x-\sin y=2\cos \left( \frac{x+y}{2} \right) 
509_em_99	\int\frac{x\;dx}{s^3} = -\frac{1}{s}
RIT_2014_215	 (- \frac {1} {2} - \frac {\sqrt {3}} {2} i) (- \frac {1} {2} + \frac {\sqrt {3}} {2} i) 
RIT_2014_187	 1 m 
20_em_27	R_o=\frac{\left( \frac{\beta + 1}{\beta} \right)r_e+ \left(\beta + 2 +\frac{2}{\beta}\right)r_{o}}{2 + \frac{2}{\beta}}
35_em_13	(x \times x \times x) \times (x \times x)
36_em_36	L_t = L + L = 2L
RIT_2014_294	 - | y | \leq y \leq | y | 
511_em_266	\mathrm{F^1_0}\!
RIT_2014_61	 0.0878 
26_em_79	-a+b+c
515_em_369	a^2+ab+ba+b^2=a+b
34_em_225	\!x^3+\!3x^2y+\!3xy^2+\!y^3
23_em_52	2p
37_em_14	\lim_{x \rightarrow 0} f(x) = 0
RIT_2014_268	 \int \frac {1} {x} \sqrt {\frac {1 - x} {x}} d x 
RIT_2014_94	 \sum \limits ^ {\infty} _ {n = 1} \frac {\cos \pi n} {n} 
516_em_395	n\neq 0
RIT_2014_247	 1 \pm \sqrt {2} 
23_em_55	\sqrt{113}
29_em_166	\int \frac{3x+1}{x^2+x} dx
32_em_203	l-1
RIT_2014_169	 \beta _ {j + 1} 
RIT_2014_190	 B \sin (n \pi y) _ {=} \sin (\pi y) + \frac {1} {5} \sin (3 \pi y) 
23_em_60	\frac{2}{3} + \frac{1}{9} = (\frac{7}{9})
508_em_86	\sqrt{45} = \sqrt{ 9 \times 5} = 3 \sqrt{5}
RIT_2014_111	 p ^ {\beta _ {1}} _ {1} p ^ {\beta 2} _ {2} \ldots p ^ {\beta n} _ {n} 
516_em_385	\int [g(x)]^n d[g(x)]
511_em_251	 \frac{3}{7} - \frac{2}{7} = \frac{1}{7}
RIT_2014_21	 \sum \limits ^ {n + 1} _ {i = 1} i 
RIT_2014_251	 \frac {\sqrt {6} + \sqrt {2}} {4} 
515_em_368	\mathrm{Im}
514_em_344	H=H_1+H_2+\ldots
517_em_404	\mathrm{Pa}
RIT_2014_131	 \sqrt {91} 
