MathBrush/200924-1312-80	 e ^ { \int x ^ 2 d x } 
expressmatch/91_Frank	\sin \theta = \frac{y}{\sqrt{x^2 + y^2}}
MathBrush/200926-131-183	 0 
MathBrush/2009210-947-142	 \mbox { l } \left ( \mbox { h } \right ) 
MathBrush/2009213-137-236	 0 
MathBrush/200925-1126-208	 \frac { \sqrt { x } } { \frac { \mu } { \sqrt { \mbox { r } } } } 
MfrDB/MfrDB0097	{( - 1 )^{\frac{p - 1}{2}}} = 1
MathBrush/200922-947-144	 \frac { { h + 8 } } { { P - \phi } } 
MfrDB/MfrDB1409	2 + 2 = 4
KAIST/TrainData2_10_sub_17	x_{1} - x_{2} + y_{1} - y_{2} + z_{1} - z_{2}
MfrDB/MfrDB1758	\sqrt[5]{55}
MathBrush/2009213-137-59	 { d = { \mbox { F } \mbox { c } } } 
expressmatch/101_Frank	S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2
HAMEX/formulaire027-equation013	x^2 - 2x + 5
expressmatch/117_caue	y^2 \pm \sqrt{u-p}\Bigg(y - \frac{q}{2(u-p)} \Bigg) + \frac{u}{2} = 0
MfrDB/MfrDB1807	{( 12 - x )^{2}}
MathBrush/2009213-139-82	 { g } _ { { \mbox { t } } _ { v } } 
MfrDB/MfrDB0347	y = 2 x
MathBrush/200923-1253-226	 \left [ { \mbox { y } + \mbox { s } } \right ] 
MathBrush/2009212-1031-110	 { \mbox { d } = \sqrt { \mbox { x } } } 
KAIST/KME2G3_9_sub_81	\pi \int_c^d \{ g ( y ) \}^2 d y
HAMEX/formulaire006-equation001	r = \alpha(\theta) \pm d
KAIST/TrainData2_19_sub_6	x_{i} - x_{i + 1} + x_{i + 2}
MathBrush/200922-947-154	 { \mbox { k } \lt z } 
MathBrush/200926-1550-147	 \sqrt { s } 
MfrDB/MfrDB3020	( \frac{1}{{m^{2}}} - \frac{3 m}{n} + \frac{2}{m n} )
MfrDB/MfrDB0587	4 + 4
MathBrush/2009212-952-13	 \sqrt { 1 + \sqrt { 1 + z ^ 2 } } 
HAMEX/formulaire003-equation028	3^3 + 7^3 +1^3 = 371
MathBrush/2009212-1031-63	 9 
MathBrush/200922-949-222	 \mbox { qce } 
MfrDB/MfrDB1560	2 \log ( x - 3 ) = \log ( 5 - x )
MfrDB/MfrDB0318	2 = 3
MfrDB/MfrDB2883	\int\limits_{0}^{+ \infty} {x^{n}} {e^{- x}} dx = n !
HAMEX/formulaire011-equation010	64 / (78 - 9 - 167) = -0.65
MfrDB/MfrDB1736	\lim_{n \to \infty} ( \sqrt{n + 2} - \sqrt{n} ) = 0
MathBrush/200922-949-119	 { - \sum _ { { 8 \geq \mbox { d } } } { \sqrt { \mbox { x } } } } 
MfrDB/MfrDB3157	{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}
expressmatch/98_caue	\cos \alpha = \frac{a}{\sqrt{a^2 + b^2 + c^2}}
extension/10_em_89	T \in E
HAMEX/formulaire012-equation009	(a^2+b^2)(q^2+p^2) = (aq+bp)^2 + (ap-bq)^2
MfrDB/MfrDB2960	3 {a^{2}} {b^{3}} + 5 {a^{3}} {b^{2}} - \frac{{a^{5}} {b^{8}}}{2}
expressmatch/95_alfonso	b= c \sin B = c \cos A
MathBrush/200923-131-216	 { \mbox { a } + \pi } 
expressmatch/92_leo	y = \frac{x\prime\sin\theta+y\prime\sin(w\prime+\theta)}{\sin w}
MfrDB/MfrDB0525	4 + 3
HAMEX/formulaire003-equation047	(g^{-1})^{ij}
MathBrush/200926-1617-220	 \mbox { M } 
MfrDB/MfrDB3361	a x + b \lt c
MfrDB/MfrDB0604	\frac{1 + 2}{3}
HAMEX/formulaire003-equation009	w = x+iy
MfrDB/MfrDB3075	\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}
expressmatch/107_carlos	a^2 + b^2 = (a+bi)(a-bi)
MathBrush/200923-1553-125	 \mbox { iF } 
HAMEX/formulaire037-equation057	u = 1 - x^2
HAMEX/formulaire008-equation069	f(v, t)
KAIST/TrainData2_16_sub_9	\sqrt{b^{2} - 4 a c}
MfrDB/MfrDB1581	\int\limits_{o}^{R} \frac{2 x d x}{1 + {x^{2}}} = \log ( 1 + {R^{2}} )
MathBrush/200923-1254-70	 { 22.2 = \sum { \mbox { g } } } 
MathBrush/200923-131-18	 a ^ x + b ^ x + \frac { c } { 2 } 
expressmatch/110_rosario	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
MathBrush/200923-1556-258	 4.8 
MfrDB/MfrDB3275	{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}
MathBrush/200922-947-26	 a + \frac { \sqrt { b + c } } { 2 } 
MathBrush/200926-1617-14	 a + \sqrt { \frac { b + c } { d + f } } 
MathBrush/200922-947-193	 { - z } 
expressmatch/92_lucelia	y = \frac{x\prime\sin\theta+y\prime\sin(w\prime+\theta)}{\sin w}
MfrDB/MfrDB0078	r = | y_{0} - b | \sqrt{1 + {y_{0}^{2}}}
MathBrush/200923-131-279	 \sqrt { { \mbox { Y } - \mbox { M } } } 
MfrDB/MfrDB1478	\int\limits_{0}^{+ \infty} {x^{n}} {e^{- x}} dx = n !
MfrDB/MfrDB3385	\int\limits_{3}^{6} \int\limits_{2}^{4} 2 dx dy = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 12
MathBrush/200922-949-87	 { \frac { { \cdots - { \mbox { g } + \mbox { M } } } } { \int \int \mbox { b } dR dH } \mbox { N } } 
HAMEX/formulaire025-equation008	6^3+(-3)^3 = 4^3+5^3
MfrDB/MfrDB0148	\sqrt{8}
HAMEX/formulaire030-equation066	7\times 2
MathBrush/200924-1331-225	 \sqrt { \left [ E \right ] } 
KAIST/TrainData2_5_sub_6	x_{i} - x_{i + 1} + x_{i + 2}
MathBrush/2009213-137-13	 \sqrt { 1 + \sqrt { 1 + z ^ 2 } } 
expressmatch/105_user0	\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
KAIST/KME2G3_15_sub_96	[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
HAMEX/formulaire035-equation019	{m^2 s^{-3}}
expressmatch/130_jorge	\frac{1}{4}+\Bigg( \frac{1}{4} \Bigg)^2 + \Bigg( \frac{1}{4} \Bigg)^3+\cdots = \frac{1}{3}
HAMEX/formulaire009-equation047	{ h = 800 km }
HAMEX/formulaire002-equation064	p^a = p
MfrDB/MfrDB3412	\sum_{n = 1}^{\infty} {( \frac{\sum_{i = 1}^{n} a_{i}}{n} )^{p}} \lt {( \frac{p}{p - 1} )^{p}} \sum_{n = 1}^{\infty} {a_{n}^{p}}
HAMEX/formulaire012-equation029	m_{n}(g_{\alpha}) = m_{n}(f)
MathBrush/200922-949-230	 \sqrt { \mbox { v } } 
MathBrush/200925-1126-176	 y 
